Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
Ar(g),y,Ar,g,0,154.73,20.79,298,25,0,0,0,#DIV/0!,#DIV/0!,n
Cl(g),n,Cl,g,121286,165.07,22.33,298,25,121286,105322.885,-18.46097594,121286,105322.885,n
Cl2(g),y,Cl,g,0,223.01,36.66,298,25,0,0,0,0,0,n
Fe(s),y,Fe,s,0,27.28,30.68,298,25,0,0,0,#DIV/0!,#DIV/0!,n
Fe(g),n,Fe,g,415887,180.85,22.18,298,25,415887,370124.63,-64.87537718,#DIV/0!,#DIV/0!,n
FeCl(g),n,Fe,g,251040,257.47,39.84,298,25,251040,215671.125,-37.80279519,251040,215671.125,n
FeCl2(s),n,Fe,s,-341800,118.00,76.70,298,25,-341800,-302378.474,53.0008434,-170900,-151189.237,n
FeCl2(l),n,Fe,l,-311328,139.90,102.17,298,25,-311328,-278431.482,48.80341904,-155664,-139215.741,n
FeCl2(g),n,Fe,g,-141001,299.17,61.73,298,25,-141001,-155567.836,27.26790173,-70500.5,-77783.918,n
Fe2Cl4(g),n,Fe,g,-431370,464.38,132.09,298,25,-431370,-420584.784,73.72002371,-107842.5,-105146.196,n
FeCl3(l),n,Fe,l,-362228,201.72,133.89,298,25,-362228,-314527.289,55.13028546,-120742.6667,-104842.4297,n
FeCl3(g),n,Fe,g,-253132,344.11,82.30,298,25,-253132,-247861.721,43.44515694,-84377.33333,-82620.57367,y
Fe2Cl6(g),n,Fe,g,-654378,537.02,181.52,298,25,-654378,-598781.63,104.9543342,-109063,-99796.93833,n
Cr(s),y,Cr,s,0,23.64,27.88,298,25,0,0,0,#DIV/0!,#DIV/0!,n
Cr(g),n,Cr,g,397480,174.20,20.78,298,25,397480,352613.5968,-61.8060465,#DIV/0!,#DIV/0!,n
CrCl2(l),n,Cr,l,-363171,144.92,83.23,298,25,-363171,-332855.8772,58.34291703,-181585.5,-166427.9386,n
CrCl2(s),n,Cr,s,-395400,115.30,79.56,298,25,-395400,-356258.7132,62.44496183,-197700,-178129.3566,n
CrCl2(g),n,Cr,g,-120307,322.49,55.17,298,25,-120307,-142908.6312,25.04899863,-60153.5,-71454.3156,n
CrCl3(s),n,Cr,s,-556472,123.01,112.47,298,25,-556472,-486400.2502,85.25614654,-185490.6667,-162133.4167,n
CrCl3(g),n,Cr,g,-292521,353.26,82.81,298,25,-292521,-291063.1542,51.01749622,-97507,-97021.0514,y
CrCl4(g),n,Cr,g,-427000,,,298,25,-427000,-287043.2272,50.31288415,-106750,-71760.8068,n
H2(g),y,H,g,0,130.70,28.80,298,25,0,0,0,#DIV/0!,#DIV/0!,n
HCl(g),n,H,g,-92300,186.90,29.10,298,25,-92300,-95293.857,16.70308976,-92300,-95293.857,y
Ni(s),y,Ni,s,0,29.90,26.10,298,25,0,0,0,#DIV/0!,#DIV/0!,n
